iter	Passed	Remaining
287	422	1043
288	423	1042
289	424	1039
290	425	1036
291	426	1033
292	427	1030
293	428	1028
294	429	1026
295	430	1023
296	431	1021
297	432	1018
298	433	1015
299	434	1014
300	435	1012
301	437	1010
302	438	1008
303	439	1007
304	441	1004
305	441	1002
306	442	999
307	443	996
308	444	993
309	444	990
310	445	987
311	446	984
312	447	981
313	448	978
314	448	975
315	449	973
316	450	970
317	452	969
318	453	968
319	454	966
320	455	963
321	456	961
322	457	958
323	458	956
324	459	953
325	460	951
326	461	949
327	462	947
328	463	944
329	463	941
330	464	939
331	465	936
332	466	934
333	467	931
334	468	929
335	469	927
336	470	924
337	470	922
338	471	919
339	472	916
340	473	914
341	473	911
342	474	909
343	475	906
344	476	904
345	477	901
346	477	899
347	478	896
348	479	893
349	480	891
350	481	889
351	481	887
352	482	884
353	483	882
354	484	879
355	484	877
356	485	874
357	486	872
358	487	870
359	488	867
360	488	865
361	489	862
362	490	860
363	491	858
364	491	855
365	492	853
366	493	851
367	494	848
368	495	846
369	496	845
370	497	844
371	498	842
372	499	840
373	500	838
374	501	836
375	502	834
376	503	832
377	504	830
378	505	828
379	506	827
380	508	825
381	508	823
382	509	821
383	510	819
384	512	818
385	513	816
386	514	814
387	515	812
388	516	810
389	517	808
390	518	807
391	519	805
392	520	803
393	521	801
394	522	799
395	523	797
396	523	795
397	524	793
398	525	792
399	527	790
400	528	789
401	530	788
402	531	787
403	532	785
404	533	783
405	533	781
406	534	779
407	535	777
408	536	775
409	537	773
410	538	771
411	539	770
412	540	768
413	541	766
414	542	764
415	543	762
416	544	760
417	545	759
418	546	757
419	547	755
420	547	753
421	549	752
422	549	750
423	550	748
424	551	746
425	552	744
426	553	742
427	554	740
428	555	739
429	556	737
430	557	735
431	558	734
432	559	732
433	560	731
434	561	729
435	562	728
436	563	726
437	564	724
438	565	723
439	567	721
440	568	720
441	569	718
442	570	717
443	571	715
444	572	713
445	573	711
446	574	710
447	575	708
448	575	706
449	576	705
450	577	703
451	578	701
452	579	699
453	580	698
454	581	696
455	582	695
456	583	693
457	584	692
458	586	691
459	587	689
460	588	688
461	589	686
462	590	685
463	591	683
464	592	681
465	593	679
466	594	677
467	594	676
468	595	674
469	596	672
470	597	670
471	597	668
472	598	666
473	599	665
474	601	664
475	602	663
476	603	661
477	604	660
478	605	658
479	606	657
